prompt,prompt_ko,subtitle,characters,scene_tag,style_tag,shot_type,duration,start_time,end_time,parent_scene
"Dallae kneeling with straw rope half-wrapped on her wrists, looking up and speaking to Lord Shim on the wooden hall, guests frozen. Characters: Dallae (young seamstress in faded white jeogori), Lord Shim (elderly nobleman with white beard). Setting: noble mansion courtyard decorated for a 60th birthday feast, lanterns, red cloth tables, awnings, spring morning. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","""대감마님. 그 도포를 벗어 주십시오."" ""너, 지금 말을 한 것이냐?""","""대감마님. 그 도포를 벗어 주십시오."" ""너, 지금 말을 한 것이냐?"" ""안감을 뜯어 보시면, 이 댁 쌀이 어디로 갔는지 아시게 됩니다.""","달래,심대감",courtyard_feast,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",dialogue,13.490,0.000,13.490,S001
"close-up of Dallae's calm determined face, constables on both sides, morning light. Characters: Dallae (young seamstress in faded white jeogori). Setting: noble mansion courtyard decorated for a 60th birthday feast, lanterns, red cloth tables, awnings, spring morning. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","관아로 끌려가던 날 아침, 포승줄에 묶인 침모가 삼 년 만에 처음으로 입","관아로 끌려가던 날 아침, 포승줄에 묶인 침모가 삼 년 만에 처음으로 입을 열었습니다 모두가 말 못 하는 줄로만 알던 여인이었지요",달래,courtyard_feast,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,12.030,13.490,25.520,S001
"Lord Shim in indigo robe on the hall, hand on his robe's collar, puzzled and tense. Characters: Lord Shim (elderly nobleman with white beard). Setting: noble mansion courtyard decorated for a 60th birthday feast, lanterns, red cloth tables, awnings, spring morning. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",도포 안에는 대체 무엇이 있었을까요 그리고 이 여인은 관아로 끌려가는 길,도포 안에는 대체 무엇이 있었을까요 그리고 이 여인은 관아로 끌려가는 길을 끝내 피할 수 있었을까요,심대감,courtyard_feast,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.960,25.520,35.480,S001
"a single oil lamp glowing in a small sewing room before dawn, seen from outside through paper door. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",이야기는 그날 새벽으로 거슬러 올라갑니다 잔칫날 새벽이었습니다,이야기는 그날 새벽으로 거슬러 올라갑니다 잔칫날 새벽이었습니다,달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,7.160,35.480,42.640,S001
"wide view of a large tiled-roof noble mansion in Hanyang before dawn, only one window lit. Setting: Bukchon alley and tiled roofs at night. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","한양 북촌, 호조판서를 지낸 심 대감의 아흔아홉 칸 집에서는 침방 하나에","한양 북촌, 호조판서를 지낸 심 대감의 아흔아홉 칸 집에서는 침방 하나에만 등잔불이 켜져 있었지요",,bukchon_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.760,42.640,52.400,S001
"Dallae kneeling under an oil lamp, sewing quietly. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",등잔 아래에는 젊은 침모 하나가 무릎을 꿇고 앉아 있었습니다,등잔 아래에는 젊은 침모 하나가 무릎을 꿇고 앉아 있었습니다,달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,6.260,52.400,58.660,S001
"close-up of an indigo robe spread on her knees, a thin needle moving up and down. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","무릎 위에는 대감의 쪽빛 도포가 펼쳐져 있었고, 침모의 손에서는 가느다란","무릎 위에는 대감의 쪽빛 도포가 펼쳐져 있었고, 침모의 손에서는 가느다란 바늘이 쉬지 않고 오르내렸어요",달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.550,58.660,68.210,S001
"close-up of the robe's white inner lining lifted, needle stitching inside a hidden fold. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","바늘이 지나가는 곳은 도포의 겉감이 아니었습니다 안감 깊숙한 곳, 사람의","바늘이 지나가는 곳은 도포의 겉감이 아니었습니다 안감 깊숙한 곳, 사람의 눈이 좀처럼 닿지 않는 자락이었지요",달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.300,68.210,79.510,S001
"extreme close-up of red thread and blue thread stitches and a tiny knot, she bites off the thread. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",붉은 실 한 땀 푸른 실 한 땀 그리고 작은 매듭 하나 마지막 매듭을 이,붉은 실 한 땀 푸른 실 한 땀 그리고 작은 매듭 하나 마지막 매듭을 이로 끊어 낸 침모가 도포를 가만히 쓸어내렸습니다,달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,13.530,79.510,93.040,S001
"Dallae whispering to herself with a faint relieved expression, lamp light on her face. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","그러고는 아주 작은 목소리로 중얼거렸지요 ""이제 되었습니다."" 이 집 사","그러고는 아주 작은 목소리로 중얼거렸지요 ""이제 되었습니다."" 이 집 사람들이 들었다면 모두 제 귀를 의심했을 겁니다",달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",reaction,12.100,93.040,105.140,S001
"memory image: a young woman collapsed in snow before a large wooden gate. Characters: Dallae (young seamstress in faded white jeogori). Setting: grand wooden gate of a Joseon mansion covered in first snow at dawn. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",이 침모는 삼 년 전 이 집 대문 앞에서 발견된 뒤로 단 한 번도 입을 ,이 침모는 삼 년 전 이 집 대문 앞에서 발견된 뒤로 단 한 번도 입을 연 적이 없었거든요,달래,gate_snow,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,8.780,105.140,113.920,S001
"Dallae silently sewing while household members pass by outside the door. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",식구들은 모두 이 침모가 말을 못 하는 사람이라고 알고 있었습니다 그런데,식구들은 모두 이 침모가 말을 못 하는 사람이라고 알고 있었습니다 그런데 그 입이 방금 말을 했습니다,달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,9.660,113.920,123.580,S001
"close-up of hidden red and blue stitches inside the robe lining, mysterious. Characters: Dallae (young seamstress in faded white jeogori). Setting: small Joseon sewing room at night lit by a single oil lamp, fabrics and threads. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text","그리고 이 도포 안감에는, 이 집 곳간에서 세 해 동안 쌀을 빼돌린 자의","그리고 이 도포 안감에는, 이 집 곳간에서 세 해 동안 쌀을 빼돌린 자의 흔적이 새겨져 있었지요 문제는 따로 있었습니다",달래,chimbang_night,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",scene,11.670,123.580,135.250,S001
"constables' red-tasseled hats and a coil of straw rope on a table, ominous. Setting: stone-paved courtyard of a Joseon noble mansion, wooden pillars, tiled roofs, daylight. Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s, no text",날이 밝으면 관아에서 포졸이 오기로 되어 있었어요 대감 마님의 은비녀를 ,날이 밝으면 관아에서 포졸이 오기로 되어 있었어요 대감 마님의 은비녀를 훔친 도둑을 잡아가기 위해서였습니다,,courtyard,"Korean animation style, soft cel shading, clean line art, warm muted colors, Joseon dynasty 1730s",narration,10.650,135.250,145.900,S001
