name,type,prompt
달래,character,"solo, single person, a 24-year-old Korean Joseon dynasty woman, slender, calm dark eyes, pale gentle face, hair in a low chignon with a plain wooden pin, faded white jeogori top and grey chima skirt (저고리+치마), needle calluses on fingertips, quiet dignified posture, historical Korean costume, no modern clothing"
심대감,character,"solo, single person, a 60-year-old Korean Joseon dynasty nobleman, white trimmed beard, dignified stern face, indigo dopo robe with horsehair gat hat (도포+갓), sharp intelligent eyes, historical Korean costume, no modern clothing"
준이,character,"solo, single person, a 7-year-old Korean Joseon dynasty noble BOY, boyish round face with thick eyebrows, long single braid hanging down his back tied with a black daenggi ribbon, light green jeogori and baji pants with a dark vest, mischievous cheerful expression, clearly a boy, historical Korean costume, no modern clothing"
노청지기,character,"solo, single person, a Korean Joseon dynasty steward in his mid 50s, slightly bent back, sparse grey beard, brown durumagi coat (두루마기), soft gentle smile that does not reach his eyes, historical Korean costume, no modern clothing"
곽마름,character,"solo, single person, a 40-year-old Korean Joseon dynasty farm manager, sunburnt skin, broad shoulders, thick eyebrows, rough cotton clothes, headband, historical Korean costume, no modern clothing"
순덕어멈,character,"solo, single person, a 50-year-old Korean Joseon dynasty kitchen woman, stout build, sharp eyes, hair in a bun, apron over plain jeogori and chima, historical Korean costume, no modern clothing"
대감마님,character,"solo, single person, a graceful Korean Joseon dynasty noblewoman in her fifties, elegant hair with a silver binyeo hairpin, refined jade-colored jeogori and navy chima, historical Korean costume, no modern clothing"
courtyard,scene,"stone-paved courtyard of a Joseon noble mansion, wooden pillars, tiled roofs, daylight, Joseon dynasty Korea, no modern elements"
courtyard_feast,scene,"noble mansion courtyard decorated for a 60th birthday feast, lanterns, red cloth tables, awnings, spring morning, Joseon dynasty Korea, no modern elements"
courtyard_harvest,scene,"noble mansion courtyard in autumn with rice sacks piled high, ox cart, golden light, Joseon dynasty Korea, no modern elements"
courtyard_night,scene,"dark noble mansion courtyard at night, moon behind clouds, tiled roofs, Joseon dynasty Korea, no modern elements"
courtyard_dawn,scene,"noble mansion courtyard at blue dawn, frost on the ground, Joseon dynasty Korea, no modern elements"
chimbang,scene,"small Joseon sewing room with sewing basket, colorful threads, fabrics, paper doors, soft daylight, Joseon dynasty Korea, no modern elements"
chimbang_night,scene,"small Joseon sewing room at night lit by a single oil lamp, fabrics and threads, Joseon dynasty Korea, no modern elements"
chimbang_dawn,scene,"small Joseon sewing room at dawn, pale blue light through paper window, lamp burning low, Joseon dynasty Korea, no modern elements"
chimbang_sunset,scene,"small Joseon sewing room with warm sunset light through the window, Joseon dynasty Korea, no modern elements"
sarangchae,scene,"Joseon nobleman's study with desk, inkstone, cabinets, ledgers, paper doors, daylight, Joseon dynasty Korea, no modern elements"
sarangchae_night,scene,"Joseon nobleman's study at night lit by an oil lamp, long shadows, Joseon dynasty Korea, no modern elements"
sarangchae_evening,scene,"Joseon nobleman's study in the evening, warm lamp light, tea table, Joseon dynasty Korea, no modern elements"
sarangbang_cozy,scene,"cozy traditional Korean room with a lamp, low table, warm atmosphere, Joseon dynasty Korea, no modern elements"
storehouse,scene,"earthen-walled storehouse of a Joseon mansion with heavy iron lock, jar terrace nearby, daylight, Joseon dynasty Korea, no modern elements"
storehouse_night,scene,"earthen-walled storehouse at night under moonlight, Joseon dynasty Korea, no modern elements"
kitchen,scene,"Joseon mansion kitchen with iron cauldrons, clay stove, firewood, steam, Joseon dynasty Korea, no modern elements"
kitchen_dawn,scene,"Joseon mansion kitchen at dawn with a glowing furnace fire, Joseon dynasty Korea, no modern elements"
gate_snow,scene,"grand wooden gate of a Joseon mansion covered in first snow at dawn, Joseon dynasty Korea, no modern elements"
bukchon_street,scene,"narrow Bukchon alley in Hanyang lined with tiled walls, Joseon dynasty Korea, no modern elements"
bukchon_night,scene,"Bukchon alley and tiled roofs at night, Joseon dynasty Korea, no modern elements"
hanyang_view,scene,"panorama of 18th-century Hanyang with tiled roofs and mountains, Joseon dynasty Korea, no modern elements"
mansion_overview,scene,"bird's-eye view of a large 99-kan Joseon noble mansion with courtyards, Joseon dynasty Korea, no modern elements"
mansion_night,scene,"large Joseon noble mansion under a full moon, Joseon dynasty Korea, no modern elements"
